,t (h),pwf (bar),pavg (bar),q (m3/d)
137,100.30257158496883,356.9680320214093,364.8769969037833,4.1391839258503145e-06
138,100.33304692863149,357.0195821196903,364.8769969039422,2.7214296376901296e-06
139,100.36649358067925,357.0722049147542,364.8769969041571,3.3527214297044077e-06
140,100.40320124001153,357.1259946641768,364.8769969045327,5.3396755765338995e-06
141,100.44348785081287,357.18105041002383,364.87699690507003,6.960650876954052e-06
142,100.48770235643322,357.237475902337,364.8769969057355,7.854866486370593e-06
143,100.53622772176844,357.29537942334593,364.876996906556,8.823730911843785e-06
144,100.58948425031895,357.35487347148063,364.8769969074446,8.707895959769414e-06
145,100.64793322465756,357.41607444560225,364.8769969082906,7.553793538252711e-06
146,100.71208090183856,357.47910237078224,364.87699690889247,4.896410045969664e-06
147,100.78248289835392,357.5440807061404,364.8769969092178,2.4113131937598017e-06
148,100.85974900261779,357.61113629615045,364.8769969093999,1.2303954434396105e-06
149,100.94454845666183,357.6803994620436,364.87699690941685,1.0408488517869419e-07
150,101.03761575278966,357.7520042044159,364.8769969094785,3.459299042435602e-07
151,101.13975699539773,357.8260884558929,364.876996909953,2.424134900471332e-06
152,101.25185688306601,357.90279422592135,364.8769969108762,4.297897422616023e-06
153,101.37488637139387,357.98226754491395,364.87699691193075,4.473267193987837e-06
154,101.50991108295293,358.0646579813803,364.87699691249236,2.1706896792104383e-06
155,101.65810053720007,358.1501175569961,364.8769969118883,-2.1274105463052966e-06
156,101.82073828029537,358.23879894992285,364.8769969122034,1.0112857666623872e-06
157,101.99923300256505,358.3308528611444,364.8769969125988,1.1560552083353492e-06
158,102.19513073990304,358.4264244104214,364.8769969126355,9.76541151922886e-08
159,102.41012826479438,358.52564859166523,364.87699691313287,1.2073626430144391e-06
160,102.6460877829467,358.6286450006522,364.8769969137521,1.3695271558057034e-06
161,102.90505306282517,358.7355118935982,364.87699691466935,1.8484455275156119e-06
162,103.18926713779739,358.8463198723635,364.8769969160548,2.54393182065376e-06
163,103.50119173421513,358.9611054928225,364.87699691685503,1.3389056097990933e-06
164,103.84352859371052,359.07986510584203,364.87699691738254,8.041451776621909e-07
165,104.2192428743895,359.2025493061234,364.87699691702795,-4.925075228964591e-07
166,104.63158883361278,359.32905823605813,364.8769969140692,-3.744681483368309e-06
167,105.08413801481638,359.4592380644526,364.87699691102745,-3.507728038355889e-06
168,105.58081018251222,359.59287882528747,364.8769969086813,-2.465153184540008e-06
169,106.12590727341318,359.72971380625984,364.8769969065891,-2.0030582163227763e-06
170,106.72415065775081,359.8694205704196,364.87699690417094,-2.109463214770269e-06
171,107.38072203352579,360.0116237070189,364.8769969015486,-2.0843880254709554e-06
172,108.10130830789687,360.1558993426096,364.87699689890957,-1.911249733317745e-06
173,108.89215085445038,360.3017814124866,364.876996896494,-1.5940107529427883e-06
