"origId","origProcId","m","d","yDot","injector","ct","ms","aC3H6O","T","tTurb","y","liquidCore","U:0","U:1","U:2","n:0","n:1","n:2","Uturb:0","Uturb:1","Uturb:2","Points:0","Points:1","Points:2"
60613,2,6.19961e-13,3.07763e-05,0,0,0,0,1,297.502,0.031645,0,0,3.10893,-0.0167825,1.29115e-10,0,1,-7.69345e-09,0.00587181,0.00348714,0.0060113,0.495267,0.0512014,-3.93915e-10
55467,2,4.94235e-13,8.90721e-06,0,0,0,0,1,296.543,0.0129025,0,0,3.66922,0.194136,3.20166e-08,0,1,1.64919e-07,-0.353047,0.179487,0.278524,0.496851,0.0350877,5.78662e-09
58365,2,5.27503e-13,9.92641e-06,0,0,0,0,1,296.874,0.0225875,0,0,3.73562,-0.0435694,-2.6007e-08,0,1,5.9691e-07,-0.0220096,-0.0508358,-0.0696713,0.497337,0.0393186,2.34696e-08
65075,2,5.26655e-13,9.0494e-06,0,0,0,0,1,297.265,0.024905,0,0,3.35927,0.0151499,-6.33901e-08,0,1,-4.1842e-06,0.0479721,0.0252638,0.175613,0.480825,0.0464843,-1.94499e-07
58987,2,4.6767e-13,7.58218e-06,0,0,0,0,1,297.274,0.0277075,0,0,3.47565,0.30553,1.4132e-07,0,1,4.62542e-07,0.127702,0.313663,0.0887759,0.498912,0.0467627,2.16297e-08
63596,2,5.44323e-13,9.11079e-06,0,0,0,0,1,297.35,0.039635,0,0,3.31836,-0.0162591,8.01371e-09,0,1,-4.92877e-07,0.00663045,-0.00634486,0.000309621,0.495099,0.0472877,-2.3307e-08
65118,2,5.55809e-13,1.03958e-05,0,0,0,0,1,297.4,0.0221225,0,0,3.1783,0.451508,-2.21587e-18,0,1,-4.90772e-18,0.0132836,0.46959,0.105807,0.484606,0.0499453,-2.45118e-19
62358,2,5.88669e-13,1.62675e-05,0,0,0,0,1,296.544,0.0143675,0,0,3.85284,-0.179171,-1.37939e-07,0,1,7.69875e-07,-0.0789074,-0.193296,-0.199372,0.493572,0.0361691,2.78457e-08
64418,2,5.35751e-13,9.83081e-06,0,0,0,0,1,296.58,0.0122825,0,0,4.10004,-0.0367492,1.67138e-19,0,1,-4.54806e-18,0.171785,-0.049388,0.146549,0.496004,0.0364877,-1.65948e-19
62705,2,4.9946e-13,7.72573e-06,0,0,0,0,1,297.227,0.0319125,0,0,3.44045,0.0372123,-2.2947e-08,0,1,-6.16651e-07,-0.0115173,0.0405877,-0.00566449,0.488329,0.0442347,-2.72774e-08
62163,2,5.43576e-13,1.06627e-05,0,0,0,0,1,297.349,0.014605,0,0,3.32016,-0.0254858,-3.35408e-08,0,1,1.31606e-06,-0.0165748,-0.0167068,-0.0178871,0.482073,0.0460157,6.05592e-08
62900,2,5.35142e-13,1.04878e-05,0,0,0,0,1,297.255,0.0350875,0,0,3.45517,0.0645725,6.8566e-10,0,1,1.06184e-08,0.156149,0.0750529,0.102282,0.495745,0.0475874,5.05304e-10
64965,2,5.71061e-13,1.1893e-05,0,0,0,0,1,297.215,0.0439925,0,0,3.47682,0.0204799,5.2001e-09,0,1,2.53912e-07,0.0231293,0.023153,0.0246154,0.476679,0.0435852,1.10668e-08
66028,2,5.83897e-13,1.3876e-05,0,0,0,0,1,297.61,0.0257075,0,0,3.01518,-0.0293733,1.08651e-19,0,1,-3.69897e-18,-0.00295482,-0.00168431,-0.00635888,0.474137,0.0534286,-1.97631e-19
65291,2,5.37459e-13,9.80599e-06,0,0,0,0,1,296.96,0.0249425,0,0,3.17025,0.381763,-1.82299e-07,0,1,-4.77519e-07,-0.458451,0.378853,-0.162032,0.49948,0.0416141,-1.98715e-08
63357,2,5.41543e-13,1.01756e-05,0,0,0,0,1,296.779,0.0030775,0,0,4.51963,-0.177413,1.05798e-07,0,1,-5.96334e-07,0.864644,-0.184685,-0.592008,0.460479,0.0395604,-2.35912e-08
54692,2,4.65848e-13,8.13936e-06,0,0,0,0,1,296.801,0.044285,0,0,3.72135,-0.00418485,-9.01641e-10,0,1,2.15454e-07,-0.0820662,-0.0155678,0.0224582,0.483178,0.0381238,8.2139e-09
62987,2,5.72186e-13,1.42375e-05,0,0,0,0,1,297.19,0.041425,0,0,3.03984,0.0281821,2.94808e-08,0,1,1.04608e-06,-0.321411,0.0348805,0.102193,0.457349,0.0441713,4.62069e-08
65967,2,5.88367e-13,1.43058e-05,0,0,0,0,1,297.125,0.03438,0,0,3.33775,-0.0428246,-5.09323e-07,0,1,1.18932e-05,-0.113606,-0.039452,0.0860894,0.492298,0.0442931,5.26787e-07
61668,2,4.89773e-13,8.52884e-06,0,0,0,0,1,296.563,0.01895,0,0,4.15174,-0.0278377,8.48591e-09,0,1,-3.04835e-07,0.219442,-0.0399591,0.218771,0.499116,0.036491,-1.11237e-08
66830,2,5.53385e-13,9.33373e-06,0,0,0,0,1,296.95,0.0454375,0,0,3.6894,-0.00885081,1.89982e-20,0,1,-2.14649e-18,0.00937327,-0.0156199,-0.0103744,0.483007,0.0400843,-8.60404e-20
67599,2,5.74311e-13,1.19583e-05,0,0,0,0,1,297.296,0.0245425,0,0,3.18853,0.130339,-5.58037e-19,0,1,-4.28142e-18,-0.135913,0.139793,0.0613744,0.486853,0.0465416,-1.99264e-19
63227,2,5.72993e-13,1.22987e-05,0,0,0,0,1,297.336,0.0474225,0,0,3.30514,-0.0131927,2.22593e-08,0,1,-1.68724e-06,-0.00343914,-0.00319151,-0.00534786,0.495439,0.0473052,-7.98155e-08
59770,2,5.86983e-13,1.59925e-05,0,0,0,0,1,297.153,0.0324725,0,0,3.49599,0.0740611,2.05511e-09,0,1,2.77489e-08,0.0108967,0.0754671,-0.0323124,0.484022,0.0433344,1.20248e-09
63778,2,5.62157e-13,1.24686e-05,0,0,0,0,1,296.757,0.006955,0,0,4.07365,0.146647,1.21793e-07,0,1,8.30521e-07,0.306487,0.138695,-0.337248,0.496275,0.0391386,3.25054e-08
66612,2,5.61895e-13,1.00387e-05,0,0,0,0,1,297.352,0.05242,0,0,3.30566,-0.0107758,1.05304e-08,0,1,-9.77225e-07,0.0035147,-0.000173213,0.00653002,0.489222,0.0470987,-4.6026e-08
66607,2,5.19141e-13,8.36915e-06,0,0,0,0,1,296.957,0.00452,0,0,3.48393,0.176675,3.64947e-10,0,1,2.06564e-09,-0.174397,0.170711,0.00908732,0.481737,0.0404296,8.35129e-11
