,t (h),pwf1 (bar),pwf2 (bar),pavg (bar),q (m3/d)
172,86.0,336.7656404638004,338.05352079917935,354.6872365992396,-274.97097040397233
173,86.5,336.48462061807874,337.7679774291052,354.4237903005575,-274.97097039292964
174,87.0,336.20370035956967,337.4825592596236,354.1603440018473,-274.9709704223248
175,87.5,335.9228790643444,337.1972655531627,353.89689770310883,-274.97097045172
176,88.0,335.64215612110013,336.9120955770854,353.63345140444346,-274.9709703755102
177,88.5,335.3615309149501,336.6270486029205,353.37000510572483,-274.9709704310345
178,89.0,335.0810028429543,336.34212390761815,353.1065588070293,-274.9709704070051
179,89.5,334.80057130678045,336.05732077213685,352.8431125083201,-274.9709704212362
180,90.0,334.5202357137223,335.77263848207707,352.5796662096369,-274.97097039401837
181,90.5,334.2399954762782,335.48807632747634,352.3162199109202,-274.97097042909047
182,91.0,333.9598500125448,335.20363360305015,352.05277361220874,-274.97097042356916
183,91.5,333.67979874580544,334.91930960792735,351.78932731351125,-274.970970409027
184,92.0,333.3998411045214,334.6351036457281,351.52588101477676,-274.9709704475986
185,92.5,333.11997652216985,334.3510150244692,351.26243471608484,-274.9709704031946
186,93.0,332.8402044372094,334.0670430566159,350.9989884173554,-274.9709704423105
187,93.5,332.56052429289764,333.78318705896834,350.73554211865826,-274.97097040863815
188,94.0,332.2809355372524,333.49944635269424,350.47209581995486,-274.9709704151705
189,94.5,332.0014376229267,333.2158202632603,350.208649521227,-274.97097044067743
190,95.0,331.7220300071628,332.932308120449,349.9452032224956,-274.97097044441017
191,95.5,331.4427121516713,332.64890925830105,349.6817569237905,-274.9709704169591
192,96.0,331.1634835225087,332.36562301506086,349.4183106250678,-274.97097043531164
193,96.5,330.88434359007977,332.08244873321263,349.1548643263318,-274.9709704492316
194,97.0,330.6052918289909,331.79938575939025,348.8914180276268,-274.97097041680354
195,97.5,330.32632771809386,331.51643344443715,348.62797172892033,-274.9709704183588
196,98.0,330.0474507401726,331.2335911432275,348.36452543014263,-274.9709704927023
197,98.5,329.7686603820974,330.9508582147436,348.10107913143554,-274.9709704190587
198,99.0,329.48995613476677,330.66823402214726,347.83763283268513,-274.9709704642403
199,99.5,329.211337492793,330.3857179324728,347.57418653396866,-274.97097042877937
200,100.0,328.9328039547282,330.1033093168804,347.31074023523956,-274.9709704419995
201,100.5,328.6543550228364,329.82100755046247,347.04729393649114,-274.9709704621406
202,101.0,328.37599020305595,329.5388120122597,346.7838476377602,-274.9709704439436
203,101.5,328.0977090049818,329.25672208525435,346.5204013390243,-274.97097044907605
204,102.0,327.8195109417763,328.9747371563061,346.25695504029164,-274.9709704457321
205,102.5,327.5413955301246,328.69285661614975,345.9935087415576,-274.970970447132
206,103.0,327.263362290291,328.4110798594021,345.73006244281976,-274.970970451098
207,103.5,326.9854107458861,328.12940628446637,345.4666161440707,-274.97097046284046
208,104.0,326.7075404237408,327.8478352934678,345.203169845322,-274.97097046245165
209,104.5,326.4297508542049,327.5663662923903,344.93972354657365,-274.97097046206284
210,105.0,326.15204157092586,327.2849986909607,344.6762772478301,-274.9709704570859
211,105.5,325.87441211054426,327.0037319023877,344.4128309490948,-274.970970448454
212,106.0,325.5968620132808,326.72256534391744,344.1493846503371,-274.9709704718613
213,106.5,325.31939082217684,326.4414984361399,343.885938351579,-274.9709704722501
214,107.0,325.04199808354076,326.1605306034347,343.6224920528226,-274.97097047046145
215,107.5,324.7646833466447,325.8796612736922,343.35904575408154,-274.97097045451966
216,108.0,324.4874461640295,325.5988898785077,343.0955994553249,-274.97097047077256
217,108.5,324.21028609089257,325.31821585284314,342.83215315656213,-274.97097047707155
218,109.0,323.93320268560035,325.0376386353196,342.56870685779444,-274.97097048228176
219,109.5,323.6561955094181,324.75715766802324,342.3052605590349,-274.9709704738054
220,110.0,323.37926412642656,324.47677239644355,342.04181426026634,-274.97097048313725
221,110.5,323.10240810366065,324.1964822696147,341.7783679615162,-274.9709704639292
222,111.0,322.82562701090404,323.9162867399199,341.51492166272243,-274.9709705094996
223,111.5,322.548920420792,323.63618526318794,341.25147536398606,-274.97097044962044
224,112.0,322.2722879086335,323.35617729856267,340.9880290652098,-274.9709704912248
225,112.5,321.9957290525208,323.076262308579,340.72458276643636,-274.9709704882697
